Kategori,Isim,Kutle_Mgunes,Yaricap_Rgunes,Hiz_veq_kms,Acisal_Momentum_J,Evrenaki_Kutlesi_Mevr_kg
Konvektif (Gercek Gozlem),Kepler-68,1.057,1.2564,0.5,6.43172912851014e+40,1.7941804947950396e+28
Konvektif (Gercek Gozlem),Kepler-1652,0.404,0.382,0.6198339803211966,9.265629617597542e+39,6.809884184815356e+27
Radyatif (Gercek Gozlem),HD 18742,1.36,5.13,2.98,2.0138511347267044e+42,1.0039589139323464e+29
Konvektif (Gercek Gozlem),KOI-7368,0.879,0.874,16.967784919021582,1.2626421548915791e+42,7.949547348599578e+28
Konvektif (Gercek Gozlem),GJ 238,0.4193,0.4314,0.4960387375456563,8.6911135327035e+39,6.595382227759642e+27
Konvektif (Gercek Gozlem),TOI-178,0.647,0.662,1.5,6.2231225810481e+40,1.764844459574424e+28
Konvektif (Gercek Gozlem),HIP 98599,1.19,1.39484,8.0,1.2862226943322849e+42,8.023435064038413e+28
Radyatif (Gercek Gozlem),WASP-82,1.48,2.1,2.6,7.827249627288001e+41,6.259027365334011e+28
Konvektif (Gercek Gozlem),WASP-15,1.18,1.48,4.27,7.22314651502808e+41,6.012643716336433e+28
Konvektif (Gercek Gozlem),Kepler-601,0.85,0.79,0.9,5.853873765285e+40,1.7116853535015983e+28
Radyatif (Gercek Gozlem),gam Lib,1.78,12.38,1.55,3.3084697766866205e+42,1.2868141975912577e+29
Konvektif (Gercek Gozlem),NGTS-32,1.07,1.85,6.6,1.2654770345217001e+42,7.95846649267307e+28
Konvektif (Gercek Gozlem),HD 155358,1.15,1.38,2.0,3.0744097511399992e+41,3.922682270066222e+28
Konvektif (Gercek Gozlem),TOI-406,0.408,0.41,0.7103773970478118,1.151033545513687e+40,7.590078165753406e+27
Konvektif (Gercek Gozlem),KPS-1,0.892,0.907,5.1,3.996659448574884e+41,4.472504951748834e+28
Konvektif (Gercek Gozlem),NGTS-25,0.91,0.86,1.96,1.4857671139365603e+41,2.726952849156788e+28
Konvektif (Gercek Gozlem),Kepler-20,0.929,0.9164,0.4,3.2984933461028643e+40,1.2848725892562478e+28
Radyatif (Gercek Gozlem),HD 156846,1.38,1.9,5.05,1.2825635461821e+42,8.012014083785911e+28
Konvektif (Gercek Gozlem),TOI-2025,1.199,1.459,6.0,1.016671271922306e+42,7.133333585649802e+28
Konvektif (Gercek Gozlem),HD 13808,0.771,0.781,2.0,1.16651474861922e+41,2.4162806449689057e+28
Konvektif (Gercek Gozlem),HD 192310,0.8,0.857922,3.0,1.9944073818658078e+41,3.1594333239138465e+28
Radyatif (Gercek Gozlem),HIP 56640,1.75,4.93,3.09,2.5822499273912252e+42,1.1368453637486011e+29
Konvektif (Gercek Gozlem),TOI-2443,0.642,0.631,1.7,6.670649704822741e+40,1.8272010058905117e+28
Radyatif (Gercek Gozlem),HD 219139,1.46,11.22,2.04,3.2369106134645277e+42,1.2728218186825593e+29
Konvektif (Gercek Gozlem),TOI-1470,0.471,0.469,2.0,4.2793575275178e+40,1.4634960144610039e+28
Konvektif (Gercek Gozlem),HD 74698,1.039,1.333,2.2,2.951366913549054e+41,3.8433847288450304e+28
Radyatif (Gercek Gozlem),TOI-4379,1.372,1.976,5.9,1.5493441253236133e+42,8.805949751003458e+28
Radyatif (Gercek Gozlem),HATS-58 A,1.461,1.433,6.22,1.2613674436921796e+42,7.945533568508616e+28
Konvektif (Gercek Gozlem),TIC 241249530,1.271,1.397,4.6,7.911423169271621e+41,6.292591879259056e+28
Konvektif (Gercek Gozlem),TOI-3261,0.861,0.849,2.83,2.003789533112886e+41,3.1668559553927675e+28
Konvektif (Gercek Gozlem),K2-268,0.84,0.78,1.5867442991517808,1.007014356011119e+41,2.245019352243437e+28
Konvektif (Gercek Gozlem),HD 102195,0.76,0.82,3.23,1.94977632855096e+41,3.1238822453859935e+28
Konvektif (Gercek Gozlem),K2-8,0.78,0.74,2.0,1.118178518184e+41,2.365689979688801e+28
Konvektif (Gercek Gozlem),HD 17674,0.98,1.18,2.3,2.5762662581292e+41,3.590853034609209e+28
Konvektif (Gercek Gozlem),TOI-3071,1.29,1.31,2.0,3.2737523871780003e+41,4.0478570976472195e+28
Konvektif (Gercek Gozlem),HD 178911 B,1.24,1.08,1.9,2.4646421309328e+41,3.5121996242902914e+28
Konvektif (Gercek Gozlem),TOI-406,0.408,0.41,0.7103773970478118,1.151033545513687e+40,7.590078165753406e+27
Konvektif (Gercek Gozlem),HD 216437,1.22,1.394,3.7,6.095076417644759e+41,5.523213555186871e+28
Konvektif (Gercek Gozlem),HIP 65 A,0.781,0.7242,2.5,1.3696335618515548e+41,2.6182098525690916e+28
Konvektif (Gercek Gozlem),Kepler-549,0.859,0.986,5.0,4.1019929498457e+41,4.531058953983382e+28
Konvektif (Gercek Gozlem),Kepler-235,0.581,0.554,0.7097587581025789,2.212847492899361e+40,1.0523931193842954e+28
Konvektif (Gercek Gozlem),HD 40307,0.77,0.716684,1.0,5.345314474247747e+40,1.635644389741721e+28
Konvektif (Gercek Gozlem),TOI-5789,0.821,0.833,1.2,7.949214774806761e+40,1.9946393090924374e+28
Radyatif (Gercek Gozlem),HD 210702,1.33,4.54,1.99,1.1638992724975981e+42,7.632379500635541e+28
Konvektif (Gercek Gozlem),HD 36384,1.14,38.4,4.5,1.9081100368512e+43,3.0903236536875128e+29
Konvektif (Gercek Gozlem),TIC 139270665,1.035,1.016,4.2,4.2779743337167194e+41,4.627232753118772e+28
Konvektif (Gercek Gozlem),K2-332,0.27,0.28,0.44673493767934336,3.2713464521855015e+39,4.0463694055651665e+27
Konvektif (Gercek Gozlem),HD 158259,1.08,1.21,2.9,3.6708103724292e+41,4.286306602009757e+28
Konvektif (Gercek Gozlem),TOI-1201,0.512,0.508,2.0,5.038699928371201e+40,1.5880402501264324e+28
Konvektif (Gercek Gozlem),TOI-421,0.833,0.866,1.8,1.257738123322044e+41,2.508980988810484e+28
Konvektif (Gercek Gozlem),K2-286,0.64,0.62,1.3179619180317266,5.06558201972085e+40,1.592270811199094e+28
Konvektif (Gercek Gozlem),TOI-125,0.859,0.848,1.0,7.055760692635201e+40,1.8792050867522883e+28
Konvektif (Gercek Gozlem),TOI-559,1.026,1.233,4.08,4.9994868103047516e+41,5.002245146734792e+28
Konvektif (Gercek Gozlem),K2-389,0.802,1.084,1.8,1.5157618846100643e+41,2.754341267684379e+28
Konvektif (Gercek Gozlem),GJ 806,0.413,0.4144,2.0,3.31554266263584e+40,1.2881889465757732e+28
Konvektif (Gercek Gozlem),HATS-63,0.931,1.07,1.77,1.7078965117749993e+41,2.9237015219520033e+28
Konvektif (Gercek Gozlem),TOI-5795,0.901,1.082,1.9,1.794157145973738e+41,2.9966256848936027e+28
Konvektif (Gercek Gozlem),TOI-1052,1.204,1.264,5.0,7.3705244584608e+41,6.073673666250773e+28
Radyatif (Gercek Gozlem),HD 200964,1.39,4.92,2.28,1.510322097224304e+42,8.694348541309634e+28
Konvektif (Gercek Gozlem),Kepler-93,0.91,0.92,0.5,4.0546563384600006e+40,1.4245552031271926e+28
Konvektif (Gercek Gozlem),Kepler-425,0.93,0.86,3.0,2.324114290134e+41,3.4106016557675457e+28
Konvektif (Gercek Gozlem),Kepler-395,0.622827,0.556,1.4121264468300807,4.736642812789288e+40,1.53970519856664e+28
Konvektif (Gercek Gozlem),GU Psc,0.325,0.450458,23.0,3.2615221159107415e+41,4.040288914677733e+28
Konvektif (Gercek Gozlem),K2-98,1.246,1.518,6.1,1.1175693317376588e+42,7.478930470854159e+28
Konvektif (Gercek Gozlem),HS Psc,0.69,0.65,29.7,1.2902495705599501e+42,8.0359850412741e+28
Konvektif (Gercek Gozlem),Kepler-113,0.75,0.69,0.4,2.0050498376999999e+40,1.0017626701456275e+28
Radyatif (Gercek Gozlem),BD+42 2315,1.38,17.85,2.2,5.249220475098601e+42,1.6208755273074873e+29
Konvektif (Gercek Gozlem),HD 10180,1.06,1.109,3.0,3.4159656321882005e+41,4.1348428127350895e+28
Konvektif (Gercek Gozlem),Kepler-408,1.08,1.23,3.1,3.9888287119044e+41,4.468121268182993e+28
Konvektif (Gercek Gozlem),HD 106515 A,0.89,0.91,1.0,7.844878567890001e+40,1.981505904506619e+28
Konvektif (Gercek Gozlem),HD 10647,1.11,1.1,4.9,5.795175204819001e+41,5.385617968720025e+28
Konvektif (Gercek Gozlem),GJ 1151,0.1639,0.1781,2.0,5.65493601370698e+39,5.320054797799218e+27
Konvektif (Gercek Gozlem),TOI-815,0.776,0.77,1.0,5.787716806872e+40,1.7019856517005643e+28
Konvektif (Gercek Gozlem),WASP-171,1.171,1.637,6.3,1.1697712692012711e+42,7.651608364954011e+28
Konvektif (Gercek Gozlem),HATS-49,0.7133,0.6977,0.5,2.4102704583303252e+40,1.0983358187439298e+28
Konvektif (Gercek Gozlem),HD 73267,0.93,0.909,1.65,1.3510941155261552e+41,2.6004293511728437e+28
Konvektif (Gercek Gozlem),HD 63433,0.956,0.934,7.26,6.279082882727054e+41,5.605964792512539e+28
Konvektif (Gercek Gozlem),HD 72892,1.01,1.22,2.7,3.2225509695834e+41,4.016078153080272e+28
Konvektif (Gercek Gozlem),HD 149806,0.93,0.89,0.9,7.215564133323002e+40,1.9003666646522777e+28
Konvektif (Gercek Gozlem),HD 110082,1.21,1.19,25.3,3.5286426527051705e+42,1.3289422161126312e+29
Radyatif (Gercek Gozlem),HD 167042,1.39,4.63,1.5,9.350651623540499e+41,6.841056802561894e+28
Konvektif (Gercek Gozlem),K2-16,0.68,0.66,2.0,8.694361035360002e+40,2.0860326099391953e+28
Konvektif (Gercek Gozlem),TRAPPIST-1,0.0898,0.1192,2.04,2.1151325368240708e+39,3.253651630561177e+27
Konvektif (Gercek Gozlem),HD 169830,1.17,1.935709,3.8,8.336127608889164e+41,6.459284821468292e+28
Konvektif (Gercek Gozlem),BD+05 4868 A,0.7,0.69,3.0,1.4035348863899998e+41,2.650414897913359e+28
Konvektif (Gercek Gozlem),HIP 57274,0.73,0.68,0.5,2.4041225590200004e+40,1.0969341566630397e+28
Konvektif (Gercek Gozlem),TOI-431,0.78,0.731,2.5,1.3807238121495001e+41,2.628788616518612e+28
Konvektif (Gercek Gozlem),HATS-1,0.986,1.038,2.52,2.4982139880066094e+41,3.5360392409511794e+28
Konvektif (Gercek Gozlem),GJ 341,0.48,0.5066,2.32,5.464484950369538e+40,1.6537767239374865e+28
Radyatif (Gercek Gozlem),HD 100655,2.28,10.06,1.6,3.55473832791168e+42,1.3338471847509774e+29
Konvektif (Gercek Gozlem),GJ 676 A,0.626,0.69,1.6,6.6941930581344e+40,1.8304226222496387e+28
Konvektif (Gercek Gozlem),TOI-1260,0.679,0.672,1.5,6.6295665242352e+40,1.8215656352382916e+28
Radyatif (Gercek Gozlem),OGLE2-TR-L9,1.52,1.53,39.33,8.859593414854728e+42,2.1057613678586016e+29
Konvektif (Gercek Gozlem),HATS-32,1.099,1.097,3.56,4.1572787411357755e+41,4.561491083690229e+28
Radyatif (Gercek Gozlem),WASP-38,1.76,1.52,7.5,1.943445407904e+42,9.862532125936783e+28
Konvektif (Gercek Gozlem),Kepler-129,1.178,1.653,2.13,4.017469366842585e+41,4.484133616263171e+28
Konvektif (Gercek Gozlem),LHS 1903,0.538,0.539,0.6683696662276485,1.8773385520253002e+40,9.693342482846397e+27
Radyatif (Gercek Gozlem),HAT-P-57,2.77,1.85,102.1,5.067947018866096e+43,5.036377685849722e+29
Konvektif (Gercek Gozlem),HD 8326,0.8,0.783181,4.0,2.4275430909213123e+41,3.485665692507887e+28
Konvektif (Gercek Gozlem),K2-216,0.7,0.72,1.8,8.78734885392e+40,2.0971581960976285e+28
Konvektif (Gercek Gozlem),Kepler-167,0.777,0.749,2.0,1.12742499439206e+41,2.375451060262029e+28
Radyatif (Gercek Gozlem),HD 143811 A,1.32,1.68398,7.5,1.6148305253300224e+42,8.990125061149942e+28
Konvektif (Gercek Gozlem),WASP-104,1.076,0.963,0.4,4.0147025724187205e+40,1.4175191874737416e+28
Konvektif (Gercek Gozlem),51 Peg,1.07,1.19,2.2,2.7133651731186e+41,3.6851602776358135e+28
Konvektif (Gercek Gozlem),TOI-1801,0.556,0.547,3.0,8.837678510715602e+40,2.103155371786801e+28
Konvektif (Gercek Gozlem),K2-32,0.83,0.86,0.7,4.839822231425999e+40,1.5563847368700842e+28
Konvektif (Gercek Gozlem),55 Cnc B,0.26,0.274,1.29,8.9016076359756e+39,6.674772713032905e+27
Konvektif (Gercek Gozlem),Kepler-78,0.779,0.7475,2.6,1.4664823121280153e+41,2.709197540223309e+28
Konvektif (Gercek Gozlem),K2-105,0.94,0.905,2.7,2.2248207351278997e+41,3.3369505412208394e+28
Konvektif (Gercek Gozlem),BD+45 564,0.81,0.813064,2.0,1.2758351801006448e+41,2.526966850191191e+28
Konvektif (Gercek Gozlem),WASP-60,1.19,1.17,3.8,5.1247330330014006e+41,5.064515226503568e+28
Radyatif (Gercek Gozlem),HIP 8541,2.009,6.84,1.3,1.7303510358487084e+42,9.306135392760187e+28
Konvektif (Gercek Gozlem),HD 102329,1.3,6.3,2.6,2.0625860504340002e+42,1.0160341286431118e+29
Konvektif (Gercek Gozlem),HD 7449,1.196,0.97,3.0,3.3711571271195996e+41,4.107634148009275e+28
Konvektif (Gercek Gozlem),HD 197037,1.11,1.105,4.0,4.752258702282001e+41,4.876994831861113e+28
Konvektif (Gercek Gozlem),Kepler-98,0.99,1.11,0.5,5.322099677895e+40,1.6320887085265924e+28
Konvektif (Gercek Gozlem),HD 140901,0.99,0.95,2.0,1.82198006991e+41,3.0197714100439653e+28
Konvektif (Gercek Gozlem),Pr0201,1.24,1.15,9.6,1.3260062926655998e+42,8.146574821027214e+28
Konvektif (Gercek Gozlem),WASP-6,0.854,0.79,1.5,9.802369010889e+40,2.214969660297978e+28
Radyatif (Gercek Gozlem),WASP-189,2.03,2.36,93.1,4.320286503306228e+43,4.6500597385521016e+29
Konvektif (Gercek Gozlem),TOI-2295,1.168,1.459,3.9,6.437504834390448e+41,5.676243821037651e+28
Radyatif (Gercek Gozlem),HD 99283,1.76,11.21,1.87,3.573672197567473e+42,1.3373947523103431e+29
Konvektif (Gercek Gozlem),HD 39194,0.86,0.783742,2.0,1.3057390551815062e+41,2.556409690643099e+28
Radyatif (Gercek Gozlem),TOI-1295,1.38,1.7,7.8,1.7724640565268002e+42,9.418700268141093e+28
Konvektif (Gercek Gozlem),IRAS 04125+2902,0.7,1.45,7.1,6.980382442214999e+41,5.910740144866388e+28
Konvektif (Gercek Gozlem),NGTS-15,0.995,0.954,2.0,1.8388922294106e+41,3.0337542438148913e+28
Radyatif (Gercek Gozlem),HD 62509,2.0,8.9,2.31,3.982784503698e+42,1.4118730953901226e+29
Radyatif (Gercek Gozlem),HD 81817,4.3,83.8,4.7,1.64045816184978e+44,9.061181661659509e+29
Radyatif (Gercek Gozlem),TOI-2184,1.53,2.9,7.5,3.2233355543025e+42,1.270150014057182e+29
Konvektif (Gercek Gozlem),WASP-47,1.058,1.156,1.8,2.1324106033907042e+41,3.2669137948063793e+28
Konvektif (Gercek Gozlem),TOI-2018,0.57,0.62,2.0,6.84622814148e+40,1.8510917349908273e+28
Radyatif (Gercek Gozlem),DMPP-2,1.41,1.78,5.1,1.2398356435537798e+42,7.87742572251257e+28
Konvektif (Gercek Gozlem),WASP-184,1.23,1.65,4.5,8.846192707852501e+41,6.653964140122829e+28
Konvektif (Gercek Gozlem),WASP-25,0.962,0.884,2.5,2.0593121043222e+41,3.210431028538068e+28
Konvektif (Gercek Gozlem),TOI-199,0.936,0.82,0.5,3.7171880469360006e+40,1.3639847792207749e+28
Konvektif (Gercek Gozlem),HD 34445,1.07,1.38,2.7,3.8617259874102e+41,4.396357343863889e+28
Konvektif (Gercek Gozlem),TOI-700,0.415,0.421,0.39443592671129907,6.67515699247977e+39,5.780068698255705e+27
Konvektif (Gercek Gozlem),LHS 1903,0.538,0.539,0.6683696662276485,1.8773385520253002e+40,9.693342482846397e+27
Konvektif (Gercek Gozlem),HD 199509,1.04,0.92,0.9,8.341007324832e+40,2.0432029612245465e+28
Radyatif (Gercek Gozlem),HD 33142,1.52,4.17,2.0,1.2279041440848e+42,7.839430072913981e+28
Konvektif (Gercek Gozlem),TOI-7510,1.063,1.035,3.2,3.41018876396016e+41,4.1313450390438745e+28
Konvektif (Gercek Gozlem),HATS-17,1.131,1.091,3.73,4.4581123989983765e+41,4.723650587190139e+28
Konvektif (Gercek Gozlem),HD 77946,1.1973,1.3174,4.915255511156736,7.509682343562165e+41,6.1307420199781975e+28
Konvektif (Gercek Gozlem),LHS 1478,0.236,0.246,2.0,1.1246876654832002e+40,7.502711106533965e+27
Konvektif (Gercek Gozlem),TOI-5143,0.864,0.852,2.53,1.8039673995767422e+41,3.0048071258813697e+28
Konvektif (Gercek Gozlem),TOI-2147,0.99,1.39,4.4,5.8648579513523995e+41,5.417900275952129e+28
Konvektif (Gercek Gozlem),KELT-6,1.126,1.529,4.53,7.554381348762448e+41,6.148960599993506e+28
Konvektif (Gercek Gozlem),Kepler-94,0.81,0.76,0.5,2.98142193258e+40,1.2215576815932433e+28
Konvektif (Gercek Gozlem),Kepler-47,0.957,0.936,4.1,3.5573489609177525e+41,4.219543737650163e+28
Konvektif (Gercek Gozlem),TOI-2136,0.34,0.34,2.0,2.239456630320001e+40,1.0587016408433137e+28
Konvektif (Gercek Gozlem),TIC 279401253,1.13,1.06,5.0,5.80108380579e+41,5.38836278311255e+28
Konvektif (Gercek Gozlem),HD 11506,1.22,1.24,5.5,8.059331724444e+41,6.351141284669854e+28
Radyatif (Gercek Gozlem),HAT-P-6,1.79,1.62,7.8,2.1908743696148402e+42,1.0471550594472368e+29
Konvektif (Gercek Gozlem),TRAPPIST-1,0.0898,0.1192,2.04,2.1151325368240708e+39,3.253651630561177e+27
Konvektif (Gercek Gozlem),WASP-185,1.12,1.5,2.8,4.5564031094400004e+41,4.77543928529801e+28
Konvektif (Gercek Gozlem),TOI-4336 A,0.306,0.326,0.46459804314514125,4.4892235167162013e+39,4.740104025203535e+27
Konvektif (Gercek Gozlem),TOI-5261,1.037,1.021,5.73,5.876435138173972e+41,5.423245087412886e+28
Konvektif (Gercek Gozlem),HD 141004,1.051904,1.389372,3.1,4.388450147844973e+41,4.68659950861806e+28
Konvektif (Gercek Gozlem),HATS-44,0.86,0.847,0.5,3.527822228931e+40,1.3287877148953314e+28
Konvektif (Gercek Gozlem),TOI-1450 A,0.48,0.483,0.6981796973521617,1.5678712995247533e+40,8.858444390142713e+27
Konvektif (Gercek Gozlem),HD 160691,1.13,1.33,3.1,4.512805383258901e+41,4.7525375884704295e+28
Konvektif (Gercek Gozlem),TOI-5616,0.666,0.646,3.0,1.2502095970618802e+41,2.501460631431165e+28
Konvektif (Gercek Gozlem),TOI-4504,0.89,0.92,1.9,1.5069063446892004e+41,2.746283633793721e+28
Radyatif (Gercek Gozlem),omi UMa,2.72,13.84,3.83,1.3965567705258626e+43,2.643818001726966e+29
Radyatif (Gercek Gozlem),HD 149026,1.42,1.41,6.0,1.1636263145052e+42,7.631484474238321e+28
Konvektif (Gercek Gozlem),GJ 9689,0.59,0.57,1.47,4.7884948928271e+40,1.5481098444567989e+28
Konvektif (Gercek Gozlem),GJ 179,0.357,0.38,1.5,1.9710511665389998e+40,9.932331525703645e+27
Konvektif (Gercek Gozlem),HATS-42,1.273,1.48,6.04,1.1022545092352977e+42,7.4275092295546834e+28
Konvektif (Gercek Gozlem),TOI-5788,0.87,0.87,2.0,1.4663016639180001e+41,2.7090306692167137e+28
Konvektif (Gercek Gozlem),TrES-4,1.08,1.66,8.5,1.4760653848668003e+42,8.595181579799797e+28
Konvektif (Gercek Gozlem),BD-08 2823,0.74,0.71,1.4,7.124804147915999e+40,1.888377092108459e+28
Radyatif (Gercek Gozlem),BD-14 3065 A,1.41,2.35,22.0,7.060971884967e+42,1.8798989234652874e+29
Radyatif (Gercek Gozlem),HD 154857,1.718,1.76,1.4,4.10032885534272e+41,4.530139781856268e+28
Konvektif (Gercek Gozlem),HD 152079,1.147,1.128,1.8,2.2557961398379678e+41,3.360099845266506e+28
Konvektif (Gercek Gozlem),HD 179079,1.14,1.63,1.0,1.799895463002e+41,3.001413966918061e+28
Konvektif (Gercek Gozlem),TOI-904,0.557,0.527,2.0,5.6865731817258e+40,1.6870485243722203e+28
Konvektif (Gercek Gozlem),Qatar-10,1.156,1.254,5.9,8.284421912542776e+41,6.439221469700334e+28
Konvektif (Gercek Gozlem),Kepler-29,0.761,0.732,4.0,2.15829376268688e+41,3.2866808613735102e+28
Konvektif (Gercek Gozlem),HD 86226,1.019,1.053,2.4,2.494414505740248e+41,3.5333492731100086e+28
Konvektif (Gercek Gozlem),HAT-P-5,1.04,1.12,2.6,2.9334557161728007e+41,3.831704652162717e+28
Konvektif (Gercek Gozlem),WASP-183,0.784,0.871,1.0,6.614378513870401e+40,1.8194778802425416e+28
Konvektif (Gercek Gozlem),TOI-3457,1.04,1.474,6.2,9.20613499277472e+41,6.787985836431097e+28
Radyatif (Gercek Gozlem),7 CMa,1.34,4.87,1.15,7.269196794923701e+41,6.031779699305956e+28
Konvektif (Gercek Gozlem),K2-19,0.88,0.82,3.0,2.096875308528e+41,3.239578894556213e+28
Konvektif (Gercek Gozlem),HD 176986,0.789,0.782,1.1,6.57402373786158e+40,1.8139190089697754e+28
Konvektif (Gercek Gozlem),HAT-P-45,1.259,1.319,9.3,1.4959197661227185e+42,8.652794875952002e+28
Radyatif (Gercek Gozlem),TOI-622,1.313,1.415,19.0,3.419240062611555e+42,1.3081786432549821e+29
Radyatif (Gercek Gozlem),KELT-19 A,1.62,1.83,84.8,2.435099900976288e+43,3.491086821044918e+29
Konvektif (Gercek Gozlem),HATS-59,1.038,1.036,2.8,2.9165536303525445e+41,3.820649881535863e+28
Konvektif (Gercek Gozlem),55 Cnc,1.015,0.98,1.06,1.02129877196802e+41,2.2608859912223363e+28
Konvektif (Gercek Gozlem),LP 791-18,0.139,0.182,2.0,4.900845487356001e+39,4.952651430594826e+27
Konvektif (Gercek Gozlem),HD 124330,1.15,1.30446,3.2,4.649790775619807e+41,4.824129569591103e+28
Konvektif (Gercek Gozlem),KELT-23 A,0.944,0.996,2.42,2.2039489218434686e+41,3.321261113583505e+28
Konvektif (Gercek Gozlem),WASP-89,0.92,0.88,2.5,1.9604931746400003e+41,3.132455610435901e+28
Konvektif (Gercek Gozlem),WASP-55,1.071,1.09,3.28,3.708895858215912e+41,4.308484923196665e+28
Konvektif (Gercek Gozlem),K2-285,0.83,0.787,3.9,2.4675857765640896e+41,3.5142963964330654e+28
Konvektif (Gercek Gozlem),K2-329,0.901,0.822,1.9,1.3630288114513982e+41,2.6118893589277994e+28
Konvektif (Gercek Gozlem),TOI-2345,0.727,0.729,2.3,1.1807136979263989e+41,2.430941786139601e+28
Konvektif (Gercek Gozlem),DMPP-1,1.21,1.26,3.41,5.035761125855461e+41,5.020359512915009e+28
Konvektif (Gercek Gozlem),WASP-45,0.85,0.855,2.3,1.61907774394275e+41,2.846663347135673e+28
Radyatif (Gercek Gozlem),75 Cet,1.92,10.38,1.77,3.416855990550913e+42,1.3077224986245611e+29
Konvektif (Gercek Gozlem),TOI-1136,1.022,0.968,6.7,6.420308287144752e+41,5.668657258190391e+28
Radyatif (Gercek Gozlem),KELT-21,1.458,1.638,146.03,3.378067576135621e+43,4.111842059929334e+29
Konvektif (Gercek Gozlem),GJ 9404,0.62,0.626041,1.3652208767804992,5.132774838563274e+40,1.6027964236475242e+28
Radyatif (Gercek Gozlem),EPIC 246851721,1.317,1.586,74.92,1.5157987798517732e+43,2.7543747892649986e+29
Konvektif (Gercek Gozlem),WASP-42,0.951,0.892,2.7,2.218523135115924e+41,3.3322243914500406e+28
Konvektif (Gercek Gozlem),HD 1461,1.02,1.152288,1.6,1.82152870703871e+41,3.0193973397830633e+28
Radyatif (Gercek Gozlem),TOI-5232,1.389,1.785,9.39,2.2550744526605155e+42,1.0623868844363997e+29
Konvektif (Gercek Gozlem),HD 133131 A,0.95,0.955014,4.0,3.515184796939452e+41,4.1944627191333405e+28
Konvektif (Gercek Gozlem),TOI-333,1.2,1.1,6.18,7.901639882136002e+41,6.288699957689017e+28
Konvektif (Gercek Gozlem),HD 285507,0.82,0.69,3.2,1.7537502580415995e+41,2.962689457068868e+28
Konvektif (Gercek Gozlem),TOI-4529,0.482,0.48,2.0,4.482012854592001e+40,1.4977482021264365e+28
Konvektif (Gercek Gozlem),HD 16905,0.85,0.77494,1.5,9.57046610900835e+40,2.188612135025701e+28
Konvektif (Gercek Gozlem),TOI-1516,1.14,1.14,11.8,1.4854106606320797e+42,8.622347586911206e+28
Konvektif (Gercek Gozlem),WASP-163,0.97,1.015,5.0,4.768289414752499e+41,4.885213647953244e+28
Konvektif (Gercek Gozlem),HD 104067,0.82,0.78,2.32,1.4373127114819198e+41,2.6821180650232987e+28
Radyatif (Gercek Gozlem),TOI-150,1.351,1.526,7.96,1.5895631158703805e+42,8.919513075668764e+28
Konvektif (Gercek Gozlem),Kepler-1720,0.939,0.839,1.3,9.92032115286303e+40,2.2282562020857582e+28
Konvektif (Gercek Gozlem),TOI-332,0.88,0.87,1.5,1.1123667795240001e+41,2.35953412751732e+28
Konvektif (Gercek Gozlem),WASP-91,0.84,0.86,2.4,1.6793600031936e+41,2.899173196135269e+28
Konvektif (Gercek Gozlem),Kepler-68,1.057,1.2564,0.5,6.43172912851014e+40,1.7941804947950396e+28
Radyatif (Gercek Gozlem),TOI-5301,1.483,2.19,11.8,3.712120791998346e+42,1.3630547730423332e+29
Konvektif (Gercek Gozlem),TOI-500,0.74,0.678,1.1,5.345753454241201e+40,1.635711551405076e+28
Konvektif (Gercek Gozlem),Kepler-1651,0.522,0.503,1.1,2.79760245050286e+40,1.1833010718655283e+28
Konvektif (Gercek Gozlem),NGTS-11,0.862,0.832,1.1,7.641490961744641e+40,1.9556507998421507e+28
Konvektif (Gercek Gozlem),HD 183579,0.996,0.96,2.0,1.8523173457152e+41,3.044808300396293e+28
Konvektif (Gercek Gozlem),GJ 887,0.495,0.468,2.5,5.609780741565001e+40,1.6756187122526865e+28
Konvektif (Gercek Gozlem),HD 219666,1.02,1.059,2.2,2.30183208411156e+41,3.3942128839628573e+28
Radyatif (Gercek Gozlem),HAT-P-34,1.392,1.53,24.0,4.95104341140864e+42,1.5741663525211462e+29
Konvektif (Gercek Gozlem),TOI-2046,1.13,1.21,9.8,1.29791041073694e+42,8.059806512433463e+28
Konvektif (Gercek Gozlem),HD 170469,1.1,1.24,1.7,2.2460432674680004e+41,3.3528283277160397e+28
Konvektif (Gercek Gozlem),BD+15 2375,1.08,8.95,2.5,2.3406777453149998e+42,1.08236333226904e+29
Radyatif (Gercek Gozlem),KELT-17,1.635,1.645,44.2,1.1514915494765865e+43,2.4006709412893896e+29
Radyatif (Gercek Gozlem),HD 142245,3.5,4.63,2.66,4.1752789743483e+42,1.4455895739768395e+29
Konvektif (Gercek Gozlem),HD 4203,0.99,1.49795,1.23,1.7668205822303533e+41,2.9737091076648323e+28
Konvektif (Gercek Gozlem),K2-8,0.78,0.74,2.0,1.118178518184e+41,2.365689979688801e+28
Konvektif (Gercek Gozlem),HATS-33,1.062,1.022,3.87,4.068564487737095e+41,4.512558656051995e+28
Konvektif (Gercek Gozlem),Kepler-539,1.048,0.952,4.4,4.252122170360064e+41,4.613230185514795e+28
Konvektif (Gercek Gozlem),HD 39091,1.07,1.19,3.34,4.11938167191642e+41,4.540652583656623e+28
Radyatif (Gercek Gozlem),HD 206255,1.42,2.221489,2.0,6.1110710585906434e+41,5.530455789009383e+28
